station_id,name,lat,lon
7000,Ft. York / Capreol Crt.,43.639832,-79.395954
7021,Bay St / Albert St,43.653264,-79.382458
7028,Gould St / Mutual St,43.6582,-79.3768
7057,Simcoe St / Wellington St W,43.645533,-79.3854
7001,Lower Jarvis St / The Esplanade,43.647992,-79.370907
7003,Madison Ave / Bloor St W,43.667158,-79.402761
7012,Elizabeth St / Edward St,43.656026,-79.385327
7018,Bremner Blvd / Rees St,43.641529,-79.386741
7026,Bay St / St. Joseph St,43.665527,-79.387499
7029,Bay St / Bloor St W,43.669429,-79.389326
7032,Augusta Ave / Dundas St W,43.652473,-79.401456
7034,Church St / Bloor St E,43.671389,-79.382919
7038,Dundas St / Yonge St,43.656094,-79.381484
7044,Church St / Alexander St,43.6636,-79.3806
7046,Niagara St. / Richmond St. W.,43.64534,-79.409597
7055,Jarvis St / Carlton St,43.66207,-79.37617
7059,Front St W / Blue Jays Way,43.643473,-79.390477
7065,Dundas St / Parliament St,43.659575,-79.365769
7073,Bremner / Spadina,43.640903,-79.392895
7079,McGill St / Church St,43.660694,-79.379052
7083,Danforth/Barrington,43.688325,-79.300463
7084,Stephenson/Main,43.68704,-79.301915
7085,Danforth/Westlake,43.687393,-79.303888
7088,Danforth/Coxwell,43.683378,-79.322961
7090,Danforth/Lamb,43.681991,-79.329455
7092,Lipton/Pape,43.680223,-79.344062
7093,Danforth/Gough,43.678401,-79.346289
7094,Chester/Danforth,43.678056,-79.352222
7096,Boston/Queen,43.661508,-79.338931
7097,Montcrest/Broadview,43.671172,-79.354704
7098,Langley/Broadview,43.667819,-79.35347
7099,Cherry/Mill,43.651248,-79.357848
7104,King/River,43.657071,-79.356598
7105,Queen/Sackville,43.6561111,-79.36138888888888
7106,Mill/Tannery,43.652219,-79.354455
7107,Cherry/Distillery Ln,43.650279,-79.356832
7108,Front/Cherry,43.652686,-79.358395
7110,Queen/Berkely,43.6552778,-79.36583333333333
7113,Parliament/Aberdeen,43.665278,-79.368333
7114,Carlton/Parliament,43.664524,-79.36793
7115,Howard St./ Sherbourne St.,43.6712581,-79.376367
7116,Parliament/Bloor,43.671827,-79.371849
7117,Castle Frank/Bloor,43.674083,-79.368579
7118,King/Bay,43.648575,-79.380042
7121,Jarvis/Dundas,43.657266,-79.374756
